Fx-Team-Non-PGO	Ubuntu HW 12.04	V8 version 7	2015-06-03 19:04:49	-2.8%	db827f2026fb
Fx-Team-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-06-03 19:31:42	-2.24%	db827f2026fb
B2g-Inbound	WINNT 6.1 (ix)	Tp5 Optimized (Modified Page List Bytes)	2015-06-04 02:02:40	+11.9%	e51935b2c99d
Firefox-Non-PGO	WINNT 6.1 (ix)	Tp5 Optimized (Modified Page List Bytes)	2015-06-04 03:32:04	+16.3%	9eae3880b132
Firefox-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-04 14:01:36	-2.11%	20a96e15631a
Firefox-Non-PGO	Ubuntu HW 12.04	V8 version 7	2015-06-04 14:32:12	-2.24%	20a96e15631a
Fx-Team	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-04 15:02:04	-2.59%	db827f2026fb
Fx-Team	Ubuntu HW 12.04 x64	a11y Row Major MozAfterPaint	2015-06-04 15:02:15	-4.77%	db827f2026fb
Fx-Team	Ubuntu HW 12.04	a11y Row Major MozAfterPaint	2015-06-04 15:03:08	-3.6%	db827f2026fb
B2g-Inbound	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-05 00:05:03	-2.68%	14be4237f855
B2g-Inbound	Ubuntu HW 12.04 x64	a11y Row Major MozAfterPaint	2015-06-05 00:05:16	-4.69%	14be4237f855
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04	WEBGL Terrain	2015-06-05 02:04:47	+7.76%	c4d1692d88ee
Mozilla-Inbound-Non-PGO	Ubuntu HW 12.04 x64	WEBGL Terrain	2015-06-05 02:05:25	+5.19%	c4d1692d88ee
Mozilla-Inbound-Non-PGO	WINNT 5.1 (ix)	WEBGL Terrain	2015-06-05 03:05:32	+5.91%	c4d1692d88ee
B2g-Inbound	Ubuntu HW 12.04 x64	SVG-ASAP	2015-06-05 07:06:26	-2.33%	b758eea952a5
Fx-Team-Non-PGO	Ubuntu HW 12.04	Session Restore Test	2015-06-05 15:05:39	+3.41%	173a4adce55e
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-06-05 15:07:23	+3.48%	173a4adce55e
Mozilla-Inbound	Ubuntu HW 12.04 x64	a11y Row Major MozAfterPaint	2015-06-05 15:07:32	-2.55%	012638ffaacc
Fx-Team-Non-PGO	WINNT 6.2 x64	Session Restore Test	2015-06-05 15:32:57	+3.27%	173a4adce55e
Firefox	Ubuntu HW 12.04	a11y Row Major MozAfterPaint	2015-06-05 20:03:35	-3.22%	b0a507af2b4a
Mozilla-Inbound-Non-PGO	WINNT 5.1 (ix)	Session Restore Test	2015-06-05 21:31:40	+3.7%	bf7d8d969d9d
